# Time   VoD
87.325  8.044
87.375  8.023
87.425  8.014
87.475  8.013
87.525  8.804
87.575  8.807
87.625  8.223
87.675  8.075
87.725  8.042
87.775  8.022
87.825  8.014
87.875  8.013
87.925  8.869
87.975  8.760
88.025  8.212
88.075  8.071
88.125  8.041
88.175  8.023
88.225  8.013
88.275  8.012
88.325  9.797
88.375  8.120
88.425  8.056
88.475  7.909
88.525  8.046
88.575  8.035
88.625  8.017
88.675  8.012
88.725  8.175
88.775  9.293
88.825  8.326
88.875  8.107
88.925  8.046
88.975  8.029
89.025  8.015
89.075  8.012
89.125  8.499
89.175  9.043
89.225  8.268
89.275  8.093
89.325  8.044
89.375  8.027
89.425  8.015
89.475  8.012
89.525  8.579
89.575  8.979
89.625  8.258
89.675  8.089
89.725  8.044
89.775  8.026
89.825  8.008
89.875  8.906
89.925  8.883
89.975  8.116
90.025  8.074
90.075  7.861
90.125  8.084
90.175  8.046
90.225  8.024
90.275  8.015
90.325  8.015
90.375  9.119
90.425  8.586
90.475  8.162
90.525  8.057
90.575  8.035
90.625  8.017
90.675  8.012
90.725  8.017
90.775  9.351
90.825  8.397
90.875  8.126
90.925  8.050
90.975  8.032
91.025  8.016
91.075  8.012
91.125  8.133
91.175  9.301
91.225  8.347
91.275  8.115
91.325  8.048
91.375  8.031
91.425  8.017
91.475  8.011
91.525  8.014
91.575  9.789
91.625  8.151
91.675  7.921
91.725  8.054
91.775  8.038
91.825  8.018
91.875  8.013
91.925  8.017
91.975  9.312
92.025  8.430
92.075  8.131
92.125  8.051
92.175  8.032
92.225  8.016
92.275  8.012
92.325  8.062
92.375  9.350
92.425  8.363
92.475  8.118
92.525  8.049
92.575  8.031
92.625  8.016
92.675  8.012
92.725  8.131
92.775  9.297
92.825  8.349
92.875  8.116
92.925  8.048
92.975  8.031
93.025  8.017
93.075  8.011
93.125  8.013
93.175  9.046
93.225  8.553
93.275  8.295
93.325  8.028
93.375  8.032
93.425  8.018
93.475  8.012
93.525  8.017
93.575  9.335
93.625  8.410
93.675  8.128
93.725  8.051
93.775  8.032
93.825  8.016
93.875  8.012
93.925  8.054
93.975  9.352
94.025  8.366
94.075  8.120
94.125  8.049
94.175  8.031
94.225  8.016
94.275  8.012
94.325  8.089
94.375  9.326
94.425  8.359
94.475  8.119
94.525  8.049
94.575  8.031
94.625  8.017
94.675  8.012
94.725  8.013
94.775  9.067
94.825  8.554
94.875  8.212
94.925  8.088
94.975  8.035
95.025  8.016
95.075  8.012
95.125  8.017
95.175  9.350
95.225  8.396
95.275  8.126
95.325  8.050
95.375  8.032
95.425  8.016
95.475  8.012
95.525  8.017
95.575  9.367
95.625  8.381
95.675  8.124
95.725  8.050
95.775  8.032
95.825  8.016
95.875  8.012
95.925  8.017
95.975  9.367
96.025  8.381
96.075  8.124
96.125  8.050
96.175  8.032
96.225  8.016
96.275  8.013
96.325  8.013
96.375  9.075
96.425  8.816
96.475  8.054
96.525  7.970
96.575  8.035
96.625  8.019
96.675  8.013
96.725  8.015
96.775  9.169
96.825  8.539
96.875  8.157
96.925  8.056
96.975  8.036
97.025  8.017
97.075  8.013
97.125  8.016
97.175  9.262
97.225  8.464
97.275  8.141
97.325  8.053
97.375  8.035
97.425  8.017
97.475  8.012
97.525  8.016
97.575  9.282
97.625  8.448
97.675  8.138
97.725  8.053
97.775  8.034
97.825  8.017
97.875  8.013
97.925  8.016
97.975  9.747
98.025  8.175
98.075  8.059
98.125  7.919
98.175  8.037
98.225  8.026
98.275  8.015
98.325  8.013
98.375  8.808
98.425  8.815
98.475  8.220
98.525  8.071
98.575  8.042
98.625  8.020
98.675  8.014
98.725  8.014
98.775  9.018
98.825  8.653
98.875  8.185
98.925  8.061
98.975  8.039
99.025  8.018
99.075  8.013
99.125  8.014
99.175  9.075
99.225  8.607
99.275  8.175
99.325  8.059
99.375  8.038
99.425  8.018
99.475  8.014
99.525  8.012
99.575  8.787
99.625  8.898
99.675  8.241
99.725  8.065
99.775  7.948
99.825  8.025
99.875  8.016
99.925  8.012
99.975  8.564
100.025  9.005
100.075  8.258
100.125  8.083
100.175  8.044
100.225  8.023
100.275  8.014
100.325  8.013
100.375  8.878
100.425  8.755
100.475  8.210
100.525  8.070
100.575  8.041
100.625  8.020
100.675  8.014
100.725  8.014
100.775  8.951
100.825  8.699
100.875  8.197
100.925  8.066
100.975  8.040
101.025  8.020
101.075  8.014
101.125  8.012
101.175  9.683
101.225  8.182
101.275  8.102
101.325  8.042
101.375  7.921
101.425  8.030
101.475  8.018
101.525  8.013
101.575  8.018
101.625  9.406
101.675  8.362
101.725  8.113
101.775  8.047
101.825  8.030
101.875  8.015
101.925  8.012
101.975  8.453
102.025  9.081
102.075  8.274
102.125  8.095
102.175  8.044
102.225  8.027
102.275  8.015
102.325  8.012
102.375  8.599
102.425  8.964
102.475  8.255
102.525  8.087
102.575  8.044
102.625  8.025
102.675  8.015
102.725  9.374
102.775  8.445
102.825  8.120
102.875  8.060
102.925  8.369
102.975  7.557
103.025  8.036
103.075  8.025
103.125  8.015
103.175  8.014
103.225  8.988
103.275  8.687
103.325  8.186
103.375  8.060
103.425  8.038
103.475  8.018
103.525  8.013
103.575  8.016
103.625  9.282
103.675  8.454
103.725  8.136
103.775  8.052
103.825  8.033
103.875  8.017
103.925  8.012
103.975  8.020
104.025  9.381
104.075  8.371
104.125  8.120
104.175  8.049
104.225  8.031
104.275  8.016
104.325  8.012
104.375  8.014
104.425  9.121
104.475  8.451
104.525  8.375
104.575  7.971
104.625  8.034
104.675  8.018
104.725  8.013
104.775  8.016
104.825  9.304
104.875  8.436
104.925  8.132
104.975  8.051
105.025  8.033
105.075  8.016
105.125  8.012
105.175  8.048
105.225  9.360
105.275  8.366
105.325  8.119
105.375  8.049
105.425  8.031
105.475  8.016
105.525  8.012
105.575  8.138
105.625  9.293
105.675  8.348
105.725  8.115
105.775  8.048
105.825  8.031
105.875  8.016
105.925  8.013
105.975  8.014
106.025  9.098
106.075  8.538
106.125  8.266
106.175  8.092
106.225  7.956
106.275  8.017
106.325  8.014
106.375  8.015
106.425  9.163
106.475  8.547
106.525  8.157
106.575  8.056
106.625  8.035
106.675  8.017
106.725  8.012
106.775  8.017
106.825  9.305
106.875  8.432
106.925  8.134
106.975  8.052
107.025  8.033
107.075  8.017
107.125  8.012
107.175  8.017
107.225  9.340
107.275  8.402
107.325  8.128
107.375  8.051
107.425  8.033
107.475  8.016
107.525  8.013
107.575  8.014
107.625  9.053
107.675  8.597
107.725  8.296
107.775  8.036
107.825  7.969
107.875  8.016
107.925  8.014
107.975  8.015
108.025  9.114
108.075  8.583
108.125  8.166
108.175  8.057
108.225  8.037
108.275  8.018
108.325  8.013
108.375  8.016
108.425  9.235
108.475  8.486
108.525  8.145
108.575  8.054
108.625  8.035
108.675  8.017
108.725  8.012
